Kanji,Furigana,Meaning,Level
演出,えんしゅつ,"production (e.g. play), direction",N1
演じる,えんじる,"to perform (a play), to play (a part), to act (a part), to commit (a blunder)",N1
演ずる,えんずる,"to perform, to play",N1
沿線,えんせん,along railway line,N1
縁談,えんだん,"marriage proposal, engagement",N1
遠方,えんぽう,"long way, distant place",N1
円満,えんまん,"perfection, harmony, peace, smoothness, completeness, satisfaction, integrity",N1
尾,お,"tail, ridge",N1
於,お,"at, in, on",N1
甥,おい,nephew,N1
追い込む,おいこむ,"to herd, to corner, to drive",N1
美味しい,おいしい,"delicious, tasty",N1
追い出す,おいだす,"to expel, to drive out",N1
於いて,おいて,"at, in, on",N1
お出でになる,おいでになる,to be,N1
老いる,おいる,"to age, to grow old",N1
負う,おう,"to bear, to owe",N1
応急,おうきゅう,emergency,N1
黄金,おうごん,gold,N1
黄色,おうしょく,yellow,N1
応募,おうぼ,"subscription, application",N1
,おおい,hey!,N1
大方,おおかた,"perhaps, almost all, majority",N1
大柄,おおがら,"large build, large pattern",N1
大げさ,おおげさ,"grandiose, exaggerated",N1
大事,おおごと,"important, valuable, serious matter",N1
大ざっぱ,おおざっぱ,"rough (as in not precise), broad, sketchy",N1
大筋,おおすじ,"outline, summary",N1
大空,おおぞら,"heaven, firmament, the sky",N1
大幅,おおはば,"full width, large scale, drastic",N1
大水,おおみず,flood,N1
公,おおやけ,"official, public, formal, open, governmental",N1
お蔭,おかげ,"(your) backing, assistance",N1
お蔭様で,おかげさまで,"Thanks to god, thanks to you",N1
可笑しい,おかしい,"strange, funny, amusing, ridiculous",N1
犯す,おかす,"to commit, to perpetrate, to violate, to rape",N1
侵す,おかす,"to invade, to raid, to trespass, to violate, to intrude on",N1
お菜,おかず,"side dish, accompaniment for rice dishes",N1
臆病,おくびょう,"cowardice, timidity",N1
遅らす,おくらす,"to retard, to delay",N1
遅れ,おくれ,"delay, lag",N1
起こす,おこす,"to raise, to cause, to wake someone",N1
行い,おこない,"deed, conduct, behavior, action, asceticism",N1
厳か,おごそか,"austere, majestic, dignified, stately, awful, impressive",N1
傲る,おごる,to be proud,N1
長,おさ,"chief, head",N1
押さえる,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down",N1
お先に,おさきに,"before, ahead, previously",N1
収まる,おさまる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered",N1
納まる,おさまる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered",N1
治まる,おさまる,"to be at peace, to clamp down, to lessen (storm terror anger)",N1
お産,おさん,(giving) birth,N1
教え,おしえ,"teachings, precept, lesson, doctrine",N1
押し込む,おしこむ,"to push into, to crowd into",N1
惜しむ,おしむ,"to be frugal, to value, to regret",N1
お喋り,おしゃべり,"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth",N1
お洒落,おしゃれ,"smartly dressed, someone smartly dressed, fashion-conscious",N1
押し寄せる,おしよせる,"to push aside, to advance on",N1
お祖父さん,おじいさん,"grandfather, male senior-citizen",N1
お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you,N1
雄,おす,male (animal),N1
お世辞,おせじ,"flattery, compliment",N1
襲う,おそう,to attack,N1
遅くとも,おそくとも,at the latest,N1
恐らく,おそらく,perhaps,N1
恐れ,おそれ,"fear, horror",N1
恐れ入る,おそれいる,"to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b",N1
お大事に,おだいじに,Take care of yourself,N1
煽てる,おだてる,"to stir up, to instigate, to flatter",N1
落ち込む,おちこむ,"to fall into, to feel down (sad)",N1
落ち着き,おちつき,"calm, composure",N1
落ち葉,おちば,"fallen leaves, leaf litter, defoliation, shedding leaves",N1
落ちる,おちる,"to fail (e.g. exam), to fall down, to drop",N1
,おっかない,"frightening, huge",N1
仰っしゃる,おっしゃる,"to say, to speak, to tell, to talk",N1
乙,おつ,"1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, 2. 2nd in rank, second sign of the",N1
お使い,おつかい,errand,N1
お手上げ,おてあげ,"all over, given in, given up hope, bring to knees",N1
御手洗い,おてあらい,"toilet, restroom, lavatory, bathroom (US)",N1
弟,おと,younger brother,N1
落とす,おとす,"to drop, to lose, to let fall",N1
訪れる,おとずれる,to visit,N1
大人しい,おとなしい,"obedient, docile, quiet",N1
少女,おとめ,"daughter, young lady, virgin, maiden, little girl",N1
お供,おとも,"attendant, companion",N1
衰える,おとろえる,"to become weak, to decline, to wear, to abate, to decay, to wither, to waste away",N1
,おどおど,"coweringly, hesitantly",N1
脅かす,おどかす,"to threaten, to coerce",N1
脅す,おどす,"to threaten, to menace",N1
驚き,おどろき,"surprise, astonishment, wonder",N1
同い年,おないどし,of the same age,N1
女子,おなご,"woman, girl",N1
お願いします,おねがいします,please,N1
各,おのおの,"each, every, either, respectively, severally",N1
自ずから,おのずから,"naturally, as a matter of course",N1
お早う,おはよう,Good morning,N1
お祖母さん,おばあさん,"grandmother, female senior-citizen",N1
怯える,おびえる,"to become frightened, to have a nightmare",N1
夥しい,おびただしい,"abundantly, innumerably",N1
帯びる,おびる,"to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with",N1
覚え,おぼえ,"memory, sense, experience",N1
御負け,おまけ,"1. a discount, a prize, 2. something additional, bonus, an extra, 3. an exaggeration",N1
お巡りさん,おまわりさん,policeman (friendly term),N1
お宮,おみや,Shinto shrine,N1
お襁褓,おむつ,"diaper, nappy",N1
お目出度う,おめでとう,"(ateji) (int) (uk) Congratulations!, an auspicious occasion!",N1
面,おも,face,N1
思い付き,おもいつき,"plan, idea, suggestion",N1
面白い,おもしろい,"interesting, amusing",N1
玩具,おもちゃ,toy,N1
重なる,おもなる,"main, principal, important",N1
趣,おもむき,"meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement",N1
赴く,おもむく,"to go, to proceed, to repair to, to become",N1
重役,おもやく,"heavy responsibilities, director",N1
重んじる,おもんじる,"to respect, to honor, to esteem, to prize",N1
重んずる,おもんずる,"to honor, to respect, to esteem, to prize",N1
お休み,おやすみ,"holiday, absence, rest, Good night",N1
お八,おやつ,"1. (uk) between meal snack, afternoon refreshment, afternoon tea, 2. mid-day snack",N1
凡そ,およそ,"about, roughly, as a rule, approximately",N1
及び,および,"and, as well as",N1
及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal",N1
織,おり,"weave, weaving, woven item",N1
檻,おり,"cage, pen, jail cell",N1
折り返す,おりかえす,"to turn up, to fold back",N1
織物,おりもの,"textile, fabric",N1
織る,おる,to weave,N1
俺,おれ,I (ego) (boastful first-person pronoun),N1
愚か,おろか,"foolish, stupid",N1
疎か,おろそか,"neglect, negligence, carelessness",N1
終わる,おわる,"to finish, to close",N1
音色,おんいろ,"tone color, tone quality, timbre, synthesizer patch",N1
温和,おんわ,"gentle, mild, moderate",N1
仮,か,"tentative, provisional",N1
科,か,"department, section",N1
個,か,article counter,N1
下位,かい,"low rank, subordinate, lower order (e.g. byte)",N1
階,かい,"-floor (counter), stories",N1
改悪,かいあく,"deterioration, changing for the worse",N1
海運,かいうん,"maritime, marine transportation",N1
